Best parameters set found on development set:
0.62406 (+/-0.019) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 17, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 18, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60838 (+/-0.033) for {'algorithm': 'kd_tree', 'leaf_size': 19, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 17, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 18, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60791 (+/-0.037) for {'algorithm': 'kd_tree', 'leaf_size': 19, 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 8, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 9, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 10, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 11, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 12, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 13, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 14, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 15, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 16, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 17, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 18, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60651 (+/-0.034) for {'algorithm': 'kd_tree', 'leaf_size': 19, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 2, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 3, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 4, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 5, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 6, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 7, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 8, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 9, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 10, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 11, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 12, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 13, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 14, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 15, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 16, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 17, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 18, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'auto', 'leaf_size': 19, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 2, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 3, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 4, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 5, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 6, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 7, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 8, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 9, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 11, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 12, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 13, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 14, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 15, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 16, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 17, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 18, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'ball_tree', 'leaf_size': 19, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'kd_tree', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'kd_tree', 'leaf_size': 2, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'kd_tree', 'leaf_size': 3, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'kd_tree', 'leaf_size': 4, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'kd_tree', 'leaf_size': 5, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'kd_tree', 'leaf_size': 6, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
0.60581 (+/-0.031) for {'algorithm': 'kd_tree', 'leaf_size': 7, 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}
